method	disorder	threshold_label	score_col	PrimaryDx	n	mean_z	sd_z	median_z	iqr_z
Shizhong_C+T	MDD	0.4	Shizhong_MDD_Pt_0.4	Bipolar	40	0.249603895935918	0.919343231258257	0.366457412554916	1.28615287123089
Shizhong_C+T	SCZD	1e-04	Shizhong_SCZD_Pt_1e-04	Bipolar	40	0.327706612635572	0.858601353912375	0.414311605651688	1.48313112590014
Shizhong_C+T	MDD	0.05	Shizhong_MDD_Pt_0.05	Bipolar	40	0.208877994461307	0.940268497747561	0.238561299866732	1.24342885043002
Shizhong_C+T	SCZD	0.7	Shizhong_SCZD_Pt_0.7	Bipolar	40	0.353986014983825	1.08293189547705	0.379268429108279	1.37672040685138
Shizhong_C+T	SCZD	0.3	Shizhong_SCZD_Pt_0.3	Bipolar	40	0.34213778659096	1.07165811291763	0.353376252251031	1.38331181346059
PRSice_C+T	BPD	1	PRSice_BPD_Pt_1	Bipolar	40	0.258383217956763	0.976638299663522	0.332961739177435	1.5396680751699
Shizhong_C+T	MDD	0.9	Shizhong_MDD_Pt_0.9	Bipolar	40	0.246626419208362	0.913278701528489	0.373405027599165	1.32364802104379
Shizhong_C+T	BPD	0.5	Shizhong_BPD_Pt_0.5	Bipolar	40	0.212015426494047	1.02779105559345	0.322238458349695	1.39025473651094
Shizhong_C+T	BPD	0.6	Shizhong_BPD_Pt_0.6	Bipolar	40	0.214397729039027	1.03058001509734	0.304618271976235	1.39087361959604
Shizhong_C+T	BPD	0.4	Shizhong_BPD_Pt_0.4	Bipolar	40	0.224265421034573	1.01466088576517	0.335163051536854	1.35125803904678
Shizhong_C+T	BPD	0.9	Shizhong_BPD_Pt_0.9	Bipolar	40	0.214388719278489	1.03486357529312	0.29060549167716	1.34787206639096
Shizhong_C+T	MDD	0.2	Shizhong_MDD_Pt_0.2	Bipolar	40	0.28909112574399	0.93009847339144	0.415493781080953	1.2679313885458
GraphPred_bcftools	BPD	NA	GraphPred_BPD	Bipolar	40	0.289611175579708	0.941912843587987	0.293883703446509	1.23580299529706
Shizhong_C+T	SCZD	1e-05	Shizhong_SCZD_Pt_1e-05	Bipolar	40	0.308192470844404	0.879729198663322	0.373635930991318	1.29781798815054
PRSice_C+T	BPD	0.001	PRSice_BPD_Pt_0.001	Bipolar	40	0.246134801024429	1.06594194960632	0.27485180480116	1.31818773955399
Shizhong_C+T	BPD	1e-06	Shizhong_BPD_Pt_1e-06	Bipolar	40	0.300942861490971	0.850472526315484	0.385457747266075	1.13516494481345
PRSice_C+T	SCZD	0.5	PRSice_SCZD_Pt_0.5	Bipolar	40	0.251141160663825	1.07574796188157	0.246056700852505	1.14917949047892
GraphPred_bcftools	SCZD	NA	GraphPred_SCZD	Bipolar	40	0.372295907152075	0.929804228464827	0.233852062288069	1.44874014745197
Shizhong_C+T	BPD	0.1	Shizhong_BPD_Pt_0.1	Bipolar	40	0.296867640101804	0.983374544928145	0.297680778384084	1.08068930831107
Shizhong_C+T	MDD	0.01	Shizhong_MDD_Pt_0.01	Bipolar	40	0.210151782391817	0.946001400462816	0.380418046397286	1.04972887717027
PRSice_C+T	MDD	0.01	PRSice_MDD_Pt_0.01	Bipolar	40	0.282782751234914	0.926713265439053	0.205593994275916	1.09960767746493
Shizhong_C+T	SCZD	0.4	Shizhong_SCZD_Pt_0.4	Bipolar	40	0.354234769903936	1.08499897166909	0.460145779847753	1.36591311304344
Shizhong_C+T	BPD	1	Shizhong_BPD_Pt_1	Bipolar	40	0.214660075951942	1.0350307069768	0.287103470541997	1.34976275088916
PRSice_C+T	MDD	1e-04	PRSice_MDD_Pt_0.0001	Bipolar	40	0.38326922349648	0.817543628283899	0.294819924339246	1.16215821273898
Shizhong_C+T	MDD	0.8	Shizhong_MDD_Pt_0.8	Bipolar	40	0.246868554321821	0.91289285884902	0.352553668177508	1.31830289508793
PRSice_C+T	BPD	0.05	PRSice_BPD_Pt_0.05	Bipolar	40	0.230058266920923	1.0146928648293	0.151839040656959	1.30867356009329
Shizhong_C+T	MDD	0.1	Shizhong_MDD_Pt_0.1	Bipolar	40	0.254155691716596	0.936454087134049	0.435316781126876	1.22989671679666
Shizhong_C+T	BPD	1e-05	Shizhong_BPD_Pt_1e-05	Bipolar	40	0.345883606906195	0.972324979684403	0.209113933164806	1.29940959837001
Shizhong_C+T	SCZD	0.2	Shizhong_SCZD_Pt_0.2	Bipolar	40	0.350406190746683	1.04658582527151	0.368780689383563	1.12912588102434
Shizhong_C+T	BPD	0.2	Shizhong_BPD_Pt_0.2	Bipolar	40	0.260772446552011	0.941402631331328	0.330854285184539	1.11302445537376
Shizhong_C+T	BPD	0.7	Shizhong_BPD_Pt_0.7	Bipolar	40	0.213361273074834	1.04420556402121	0.318224601414457	1.39421322966571
Shizhong_C+T	MDD	0.5	Shizhong_MDD_Pt_0.5	Bipolar	40	0.251120592934654	0.914154824339393	0.358261509987105	1.30299645166104
PRSice_C+T	MDD	5e-08	PRSice_MDD_Pt_5e-08	Bipolar	40	0.130661899005122	0.631823918539385	-0.0900292769895547	0.858123241411703
PRSice_C+T	SCZD	0.05	PRSice_SCZD_Pt_0.05	Bipolar	40	0.370407059004918	0.951121908853674	0.402607233890673	1.11141612789385
Shizhong_C+T	BPD	0.05	Shizhong_BPD_Pt_0.05	Bipolar	40	0.233756381710028	0.97245370692478	0.261702286556968	1.07743613578351
Shizhong_C+T	SCZD	0.01	Shizhong_SCZD_Pt_0.01	Bipolar	40	0.341812553424117	1.01660368110643	0.43811682411209	1.30415959522654
PRSice_C+T	MDD	0.001	PRSice_MDD_Pt_0.001	Bipolar	40	0.285471865902714	0.846223264800921	0.199560076923709	1.20752483791224
Shizhong_C+T	SCZD	0.001	Shizhong_SCZD_Pt_0.001	Bipolar	40	0.347660052883876	0.860378611452811	0.327302685924282	1.24730303848661
Shizhong_C+T	BPD	0.3	Shizhong_BPD_Pt_0.3	Bipolar	40	0.269485461466053	0.984295300681314	0.386439059004536	1.44083093391071
PRSice_C+T	SCZD	1	PRSice_SCZD_Pt_1	Bipolar	40	0.256716875236048	1.09062841571058	0.189967730457487	1.17134805873979
Shizhong_C+T	BPD	0.8	Shizhong_BPD_Pt_0.8	Bipolar	40	0.216934773722721	1.04114418468004	0.309066143713151	1.36090741858844
PRSice_C+T	SCZD	1e-04	PRSice_SCZD_Pt_0.0001	Bipolar	40	0.343959539903428	0.690868677689828	0.449840188828005	1.07962917265578
Shizhong_C+T	SCZD	0.8	Shizhong_SCZD_Pt_0.8	Bipolar	40	0.356466322759911	1.08735653147625	0.390308868329345	1.37629276376029
Shizhong_C+T	MDD	1e-07	Shizhong_MDD_Pt_1e-07	Bipolar	40	0.160762994172272	0.764838095872028	0.17628466405877	0.879054947196927
PRSice_C+T	MDD	0.05	PRSice_MDD_Pt_0.05	Bipolar	40	0.313103339274147	0.912055914628971	0.259340610359205	1.35872013687421
PRSice_C+T	BPD	0.5	PRSice_BPD_Pt_0.5	Bipolar	40	0.254546910649007	0.975310174703443	0.268627164347537	1.38285447804899
GraphPred_bcftools	MDD	NA	GraphPred_MDD	Bipolar	40	0.34979816011183	0.98377405527545	0.311883294823261	1.47498709201255
PRSice_C+T	BPD	1e-06	PRSice_BPD_Pt_1e-06	Bipolar	40	0.351576158098128	0.740994400559508	0.468342795938689	0.965129517090102
Shizhong_C+T	MDD	0.001	Shizhong_MDD_Pt_0.001	Bipolar	40	0.191155103655236	0.93466299928458	0.261040052298763	1.11190797430463
PRSice_C+T	SCZD	0.001	PRSice_SCZD_Pt_0.001	Bipolar	40	0.36136747491065	0.754801193504489	0.376754491092287	1.23456050491176
Shizhong_C+T	SCZD	1e-08	Shizhong_SCZD_Pt_1e-08	Bipolar	40	0.314285002732053	0.688932334955372	0.390257553239039	1.02546788018268
PRSice_C+T	MDD	1e-06	PRSice_MDD_Pt_1e-06	Bipolar	40	0.282350869909055	0.664351221857415	0.230668112750247	1.02957093744283
PRSice_C+T	SCZD	0.01	PRSice_SCZD_Pt_0.01	Bipolar	40	0.232272061622705	0.877633449433393	0.155306547084129	1.20670229913403
PRSice_C+T	MDD	0.1	PRSice_MDD_Pt_0.1	Bipolar	40	0.385097942648547	0.857804067428409	0.296624596204261	1.32927959194064
Shizhong_C+T	MDD	1e-04	Shizhong_MDD_Pt_1e-04	Bipolar	40	0.409644155278314	0.966015422437688	0.356649296957119	1.62808070058473
Shizhong_C+T	SCZD	1e-07	Shizhong_SCZD_Pt_1e-07	Bipolar	40	0.32845482315295	0.706863644435711	0.270604017185043	1.04374425427123
Shizhong_C+T	MDD	1e-06	Shizhong_MDD_Pt_1e-06	Bipolar	40	0.285595454964996	0.818445140649627	0.0804917907982809	1.37339168569216
PRSice_C+T	SCZD	1e-06	PRSice_SCZD_Pt_1e-06	Bipolar	40	0.319682360509675	0.649170814657813	0.342859196430939	0.86997529652672
Shizhong_C+T	MDD	1e-05	Shizhong_MDD_Pt_1e-05	Bipolar	40	0.327902354888949	0.861777902060906	0.361515925190088	1.37145524565616
Shizhong_C+T	BPD	0.001	Shizhong_BPD_Pt_0.001	Bipolar	40	0.187595240353466	1.04504579078175	0.348563548479387	1.39821166975764
PRSice_C+T	MDD	1	PRSice_MDD_Pt_1	Bipolar	40	0.329422518460678	0.871750049320415	0.335801854060715	1.46600573736441
PRSice_C+T	BPD	0.1	PRSice_BPD_Pt_0.1	Bipolar	40	0.310371249134678	0.993348396504041	0.240049068518049	1.49862104891062
PRSice_C+T	MDD	0.5	PRSice_MDD_Pt_0.5	Bipolar	40	0.359255546702701	0.885351454452809	0.373358276556086	1.49500653465147
Shizhong_C+T	SCZD	0.9	Shizhong_SCZD_Pt_0.9	Bipolar	40	0.35666418002711	1.08622049100206	0.398723973319843	1.36315360187589
Shizhong_C+T	SCZD	1	Shizhong_SCZD_Pt_1	Bipolar	40	0.356557229285012	1.08544227559093	0.395363649010812	1.36065298245981
PRSice_C+T	BPD	5e-08	PRSice_BPD_Pt_5e-08	Bipolar	40	0.292504370696218	0.65941702479085	0.342633837515017	0.730710176289225
PRSice_C+T	SCZD	5e-08	PRSice_SCZD_Pt_5e-08	Bipolar	40	0.308045837607229	0.580551759392572	0.334793843070179	0.566017889986411
Shizhong_C+T	BPD	1e-04	Shizhong_BPD_Pt_1e-04	Bipolar	40	0.290197379679042	1.02200748441438	0.0019875425449361	1.32259727941882
Shizhong_C+T	BPD	0.01	Shizhong_BPD_Pt_0.01	Bipolar	40	0.116970562632559	0.998122523209701	0.206520097807063	1.33082664597461
