SAMPLE	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	MDD_MDD_2025_pgs_a0.5_b2e-08	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_BPD_Pt_5e-08	PRSice_BPD_Pt_1e-06	PRSice_BPD_Pt_0.0001	PRSice_BPD_Pt_0.001	PRSice_BPD_Pt_0.01	PRSice_BPD_Pt_0.05	PRSice_BPD_Pt_0.1	PRSice_BPD_Pt_0.5	PRSice_BPD_Pt_1	PRSice_MDD_Pt_5e-08	PRSice_MDD_Pt_1e-06	PRSice_MDD_Pt_0.0001	PRSice_MDD_Pt_0.001	PRSice_MDD_Pt_0.01	PRSice_MDD_Pt_0.05	PRSice_MDD_Pt_0.1	PRSice_MDD_Pt_0.5	PRSice_MDD_Pt_1	PRSice_SCZD_Pt_5e-08	PRSice_SCZD_Pt_1e-06	PRSice_SCZD_Pt_0.0001	PRSice_SCZD_Pt_0.001	PRSice_SCZD_Pt_0.01	PRSice_SCZD_Pt_0.05	PRSice_SCZD_Pt_0.1	PRSice_SCZD_Pt_0.5	PRSice_SCZD_Pt_1
Br5856	-0.54176	-0.359369	-0.194392	0.261462992	-0.246704398	1.91631176	1.60187508	-6.14959901	-10.822995	-10.6224815	-18.7439184	-17.840435	0.134145746	-0.109065687	0.534676794	1.11175843	1.24449733	-1.63800534	-3.53714017	-6.56448655	-6.57364081	0.052898278	0.0433924008	0.281050096	0.852124944	3.47899777	-3.94095647	-10.7214944	-13.6077135	-12.3899519
Br5861	-0.589899	-0.31616	-1.33457	-0.243115771	-0.886409134	0.512224589	-0.480062318	-5.565224	-7.41035232	-6.46359231	-14.7622846	-14.179915	-0.207050445	-0.511610948	-0.00230539059	1.45834724	0.102384274	-2.67491091	-5.09064708	-8.87939732	-9.05436804	0.312907822	0.0340090463	-2.45030895	-2.76514956	-3.07433163	-11.8811144	-16.2696708	-19.7993991	-19.8579541
Br5902	0.135941	-0.109095	0.192218	1.15385983	1.14198503	4.60230732	4.93256535	0.904801094	2.43710886	0.374392285	-1.69913656	-1.35933806	-0.055445729	0.0515914824	0.669362085	2.02675037	1.43882828	0.29412653	-1.78840055	-5.41974922	-5.50060339	1.65448088	1.89243405	2.02264202	1.71629477	5.42140399	4.9436003	0.636877511	1.19316257	0.985554081
Br5910	-0.643099	-0.185563	-2.3501	-1.30804258	-2.51356445	-0.083226222	-1.74117211	-6.82778382	-7.47436744	-6.62420246	-12.0762653	-11.3401488	-0.975290368	-1.16905217	-0.740339889	-0.736343031	-2.21771204	-2.2641043	-2.92850531	-6.53647994	-6.83557657	-5.99105489	-6.13383544	-10.6157568	-11.0833338	-14.3995306	-16.7249725	-23.1216479	-24.7027611	-24.991751
Br5916	-0.68143	-0.305551	-0.298876	-0.453537795	-1.48670875	1.17063179	-0.0049940549	-5.35396369	-5.44189831	-4.60754204	-13.4307564	-13.432003	-0.300206849	-0.353524491	-0.186861718	0.269291478	-0.759495266	-1.12863888	-2.37295998	-6.38574438	-6.6539999	0.33158613	0.520940933	-0.0132283416	-1.37701756	-1.84329734	-1.98029319	-6.99173166	-9.0578501	-7.86518817
Br5920	-0.187793	0.0726794	-1.09533	0.211746339	-0.127971178	2.4326805	3.51398506	-0.743851418	-0.148458311	-0.025465249	-5.4753797	-4.34605733	-0.294437845	-0.342678683	0.685503862	2.0410981	0.889833558	1.06847388	0.324361033	-3.52795022	-3.26371745	0.466497072	0.34596776	-1.52706891	-4.3376512	-4.6075613	-4.03676403	-12.0084674	-12.7572908	-12.1174436
Br5939	-0.207687	0.217463	-0.914061	0.505617771	0.325394453	3.98844563	4.15681867	1.09110014	2.4115798	3.08013502	-1.73986547	-0.0760047875	0.373739983	0.779989095	1.49179789	2.75347843	2.38652028	0.714270725	-0.272550348	-2.11503904	-1.75329881	0.355452644	-1.09313338	-4.09950037	-0.913464588	1.88440225	-4.66283519	-12.3177902	-15.0745672	-15.5936542
Br5958	-0.563206	-0.0658945	-0.364706	-0.387304396	-1.11459558	0.728058927	-0.576035353	-6.62012585	-8.31577038	-8.98331893	-16.0161116	-16.6419557	0.0490911569	-0.0953992694	0.420073138	2.00175788	0.533576019	-1.15949055	-2.71922548	-7.70153479	-7.68529885	0.141529078	0.458290363	-0.101855129	0.126366445	-0.0995788059	-4.51481953	-10.7280411	-8.88625984	-8.33744394
Br5960	0.0268449	0.0103142	-0.970634	0.0323490976	-0.061153078	2.90897203	6.46707276	5.27296914	8.35951781	10.4683043	1.25201899	2.74709124	-0.123683616	-0.340384435	0.929309924	3.35265511	2.28940489	2.25844675	0.437227374	-4.12611285	-3.80080715	0.282397471	0.616169606	-3.85309689	-4.74356706	-2.83000294	-6.20545683	-11.3846935	-20.8247603	-20.1904213
Br5993	-0.777752	-0.15033	-2.31686	-1.61524547	-3.06824532	-0.447603197	-0.717967122	-8.37011356	-11.0721576	-12.6860408	-18.9951799	-18.3633064	-1.10196409	-1.7060656	-1.18432568	0.519825631	-0.496312198	-1.68477703	-2.73525152	-6.52655468	-6.50814136	-5.12396677	-6.94803167	-11.0797706	-14.7977269	-13.7726248	-17.7442191	-24.1266313	-26.3001482	-27.3386617
